product_id,name,category,price,cost,stock_quantity,currency,active
SKU-0067,Sports item 67,Sports,248.63,139.76,285,USD,true
SKU-0068,Toys item 68,Toys,328.57,192.31,179,USD,true
SKU-0069,Grocery item 69,Grocery,191.01,125.90,332,USD,true
SKU-0070,Automotive item 70,Automotive,167.88,126.10,181,USD,true
SKU-0071,Sports item 71,Sports,640.35,396.61,377,USD,true
SKU-0072,Garden item 72,Garden,845.43,483.15,146,USD,true
SKU-0073,Garden item 73,Garden,601.05,279.60,85,USD,true
SKU-0074,Sports item 74,Sports,402.17,271.68,207,USD,true
SKU-0075,Home & Kitchen item 75,electronics,77.46,42.96,160,USD,true
SKU-0076,Sports item 76,Sports,621.23,447.10,309,USD,true
SKU-0077,Beauty item 77,Beauty,259.51,155.76,441,USD,true
SKU-0078,Sports item 78,Sports,711.13,451.16,230,USD,true
SKU-0079,Beauty item 79,Beauty,161.03,126.31,64,USD,true
SKU-0080,Clothing item 80,Clothing,629.77,518.42,358,USD,true
SKU-0081,Home & Kitchen item 81,Home & Kitchen,202.02,116.90,48,USD,true
SKU-0082,Home & Kitchen item 82,Home & Kitchen,99999.99,545.58,27,USD,true
SKU-0083,Electronics item 83,Electronics,732.96,466.01,42,USD,true
SKU-0084,Home & Kitchen item 84,Home & Kitchen,251.17,118.02,335,USD,true
SKU-0085,Beauty item 85,Beauty,295.63,151.16,145,USD,true
SKU-0086,Garden item 86,Garden,596.09,273.65,429,USD,true
SKU-0087,Books item 87,Books,29.57,20.66,440,USD,true
SKU-0088,Sports item 88,Sports,821.37,501.23,445,USD,true
SKU-0089,Automotive item 89,Automotive,888.28,574.58,69,USD,true
SKU-0090,Automotive item 90,Automotive,170.24,113.88,323,USD,true
SKU-0091,Grocery item 91,Grocery,414.64,285.23,273,USD,true
SKU-0092,Toys item 92,Toys,863.70,532.68,116,USD,true
SKU-0093,Home & Kitchen item 93,Home & Kitchen,421.16,237.79,133,USD,true
SKU-0094,Books item 94,Books,290.14,116.07,417,USD,true
SKU-0095,Books item 95,Books,328.33,200.66,4,USD,true
SKU-0096,Garden item 96,Garden,899.74,553.05,4,USD,true
SKU-0097,Beauty item 97,Beauty,758.57,507.22,407,USD,true
SKU-0098,Electronics item 98,Electronics,521.93,253.06,451,USD,true
SKU-0099,Automotive item 99,Automotive,416.66,213.52,366,USD,true
SKU-0100,Beauty item 100,Beauty,787.43,393.14,40,USD,true
SKU-0101,Beauty item 101,Beauty,594.99,376.32,409,USD,true
SKU-0102,Grocery item 102,,767.68,543.59,-3,USD,true
SKU-0103,Automotive item 103,Automotive,768.85,450.40,436,USD,true
SKU-0104,Home & Kitchen item 104,Home & Kitchen,175.33,92.98,326,USD,true
SKU-0105,Garden item 105,Garden,587.80,307.10,318,USD,true
SKU-0106,Garden item 106,Garden,180.43,73.75,25,USD,true
SKU-0107,Automotive item 107,Automotive,23.47,19.66,144,USD,true
SKU-0108,Toys item 108,Toys,120.97,72.25,4,USD,true
SKU-0109,Clothing item 109,Clothing,87.96,35.77,111,USD,true
SKU-0110,Sports item 110,Sports,400.68,301.94,255,USD,true
SKU-0111,Sports item 111,Sports,441.84,334.09,169,usd,true
SKU-0112,Home & Kitchen item 112,Home & Kitchen,801.76,664.05,28,USD,true
SKU-0113,Toys item 113,Toys,737.43,318.66,240,USD,true
SKU-0114,Books item 114,Books,184.60,143.75,418,GBP,true
SKU-0115,Beauty item 115,Beauty,787.27,358.12,393,USD,true
SKU-0116,Clothing item 116,Clothing,367.10,307.90,126,USD,true
SKU-0117,Electronics item 117,Electronics,191.22,139.76,48,USD,true
SKU-0118,Automotive item 118,Automotive,633.54,312.84,199,USD,true
SKU-0119,Toys item 119,Toys,889.56,419.32,372,USD,true
SKU-0120,Electronics item 120,Electronics,708.13,458.38,62,USD,true
SKU-0075,Relisted,electronics,77.46,42.96,160,USD,true
,Mystery item,Beauty,594.99,376.32,409,USD,true
